Размер массива;Среднее количество сравнений;Среднее количество перестановок
100;2379.0;2379.0
200;9648.6;9648.6
300;21586.4;21586.4
400;39456.4;39456.4
500;62284.8;62284.8
600;87718.0;87718.0
700;123970.6;123970.6
800;157179.8;157179.8
900;203236.2;203236.2
1000;246408.0;246408.0
1100;303307.0;303307.0
1200;352539.8;352539.8
1300;412178.6;412178.6
1400;488251.0;488251.0
1500;562746.4;562746.4
1600;631058.8;631058.8
1700;709770.2;709770.2
1800;815326.8;815326.8
1900;893938.8;893938.8
2000;978229.6;978229.6
2100;1089450.8;1089450.8
2200;1198153.8;1198153.8
2300;1321273.6;1321273.6
2400;1430143.8;1430143.8
2500;1546407.6;1546407.6
2600;1678318.8;1678318.8
2700;1808645.6;1808645.6
2800;1944515.4;1944515.4
2900;2081597.0;2081597.0
3000;2238384.0;2238384.0
3100;2363809.4;2363809.4
3200;2534737.8;2534737.8
3300;2687558.2;2687558.2
3400;2865871.4;2865871.4
3500;3042290.6;3042290.6
3600;3166786.8;3166786.8
3700;3364512.2;3364512.2
3800;3579612.2;3579612.2
3900;3741980.8;3741980.8
4000;3931150.2;3931150.2
4100;4195703.6;4195703.6
4200;4362490.6;4362490.6
4300;4574936.2;4574936.2
4400;4792544.2;4792544.2
4500;5009550.2;5009550.2
4600;5230627.4;5230627.4
4700;5460648.0;5460648.0
4800;5683761.0;5683761.0
4900;5933747.0;5933747.0
5000;6147058.4;6147058.4
5100;6418246.8;6418246.8
5200;6682050.2;6682050.2
5300;6944083.0;6944083.0
5400;7222929.4;7222929.4
5500;7490730.6;7490730.6
5600;7805150.0;7805150.0
5700;8056556.4;8056556.4
5800;8303482.0;8303482.0
5900;8581896.8;8581896.8
6000;8937238.0;8937238.0
6100;9259992.8;9259992.8
6200;9543752.2;9543752.2
6300;9821773.6;9821773.6
6400;10144558.2;10144558.2
6500;10516803.4;10516803.4
6600;10793502.8;10793502.8
6700;11029700.0;11029700.0
6800;11449086.2;11449086.2
6900;11717586.4;11717586.4
7000;12073988.0;12073988.0
7100;12467362.2;12467362.2
7200;12834486.6;12834486.6
7300;13134051.2;13134051.2
7400;13541510.0;13541510.0
7500;13956617.0;13956617.0
7600;14351533.4;14351533.4
7700;14704262.6;14704262.6
7800;15062664.4;15062664.4
7900;15478257.0;15478257.0
8000;15844921.4;15844921.4
8100;16224494.4;16224494.4
8200;16625739.6;16625739.6
8300;17072086.0;17072086.0
8400;17431524.2;17431524.2
8500;17845907.0;17845907.0
8600;18284716.4;18284716.4
8700;18729455.4;18729455.4
8800;19312425.4;19312425.4
8900;19574956.8;19574956.8
9000;20041460.0;20041460.0
9100;20444145.8;20444145.8
9200;21140202.2;21140202.2
9300;21395823.4;21395823.4
9400;21886297.8;21886297.8
9500;22340326.4;22340326.4
9600;22786897.6;22786897.6
9700;23267681.8;23267681.8
9800;23626966.8;23626966.8
9900;24265649.2;24265649.2
10000;24666469.2;24666469.2
